name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
PN Mankad,663b5e34,PN Mankad,PN Mankad,956871.0,
R Shepherd,c5aef772,R Shepherd,R Shepherd,677077.0,
RA Tripathi,77255a9e,RA Tripathi,RA Tripathi,446763.0,
Umran Malik,81c08fa3,Umran Malik,Umran Malik,1246528.0,
Washington Sundar,f19ccfad,Washington Sundar,Washington Sundar,719715.0,
AS Joseph,b0946605,AS Joseph,AS Joseph,670031.0,
Avesh Khan,eef2536f,Avesh Khan,Avesh Khan,694211.0,
E Lewis,0ebfb1ad,E Lewis,E Lewis,431901.0,
MA Gough,76752ac8,MA Gough,MA Gough,13413.0,
Mohsin Khan,c33d8116,Mohsin Khan,Mohsin Khan (2),1132005.0,
PVD Chameera,327b58d3,PVD Chameera,PVD Chameera,552152.0,
Ravi Bishnoi,df064e1a,Ravi Bishnoi,Ravi Bishnoi,1175441.0,
JR Hazlewood,03806cf8,JR Hazlewood,JR Hazlewood,288284.0,
MK Lomror,da934ee8,MK Lomror,MK Lomror,853265.0,
Mohammed Siraj,2f49c897,Mohammed Siraj,Mohammed Siraj,940973.0,
PWH de Silva,a97c8ec2,PWH de Silva,PWH de Silva,784379.0,
RM Patidar,c740ea83,RM Patidar,RM Patidar,823703.0,
Shahbaz Ahmed,f9e6e7ef,Shahbaz Ahmed,Shahbaz Ahmed,1159711.0,
D Padikkal,2c25d4f5,D Padikkal,D Padikkal,1119026.0,
LH Ferguson,2f9d0389,LH Ferguson,LH Ferguson,493773.0,
M Prasidh Krishna,85e0cf10,M Prasidh Krishna,M Prasidh Krishna,917159.0,
OC McCoy,529eb9e0,OC McCoy,OC McCoy,906783.0,
R Parag,04a418e8,R Parag,R Parag,1079434.0,
R Sai Kishore,c7a995d3,R Sai Kishore,R Sai Kishore,1048739.0,
Rashid Khan,5f547c8b,Rashid Khan,Rashid Khan,793463.0,
SO Hetmyer,48a1d7b7,SO Hetmyer,SO Hetmyer,670025.0,
Shubman Gill,b4b99816,Shubman Gill,Shubman Gill,1070173.0,
