name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2,batting_style,bowling_style
Jasbir Singh,6043dfe7,Jasbir Singh,Jasbir Singh,29681,,Right hand Bat,Slow Left arm Orthodox
T Taibu,75de770f,T Taibu,T Taibu,55805,,Right hand Bat,Right arm Medium
MS Mahal,50a7e89b,MS Mahal,MS Mahal,30886,,Right hand Bat,Legbreak
Younis Khan,33cb3411,Younis Khan,Younis Khan,43652,,Right hand Bat,"Right arm Medium, Legbreak"
RV Pawar,c9d33ef5,RV Pawar,RV Pawar,32305,,Left hand Bat,Slow Left arm Orthodox
Abdur Razzak,888e32bf,Abdur Razzak,Abdur Razzak,56283,,Left hand Bat,Slow Left arm Orthodox
DT Patil,f48cf4da,DT Patil,DT Patil,32389,,Right hand Bat,
J Arunkumar,f663ef00,J Arunkumar,J Arunkumar,26291,,Right hand Bat,Right arm Offbreak
DJ Thornely,7d3937ed,DJ Thornely,DJ Thornely,8002,,Right hand Bat,"Right arm Medium, Right arm Offbreak"
DNT Zoysa,e0351c86,DNT Zoysa,DNT Zoysa,51050,,Left hand Bat,Left arm Fast medium
H Das,0ed0cdbf,H Das,H Das,236810,,Right hand Bat,
S Banerjee,abde8fb9,S Banerjee,S Banerjee,26854,,,
Shoaib Akhtar,10a91f35,Shoaib Akhtar,Shoaib Akhtar,42655,,Right hand Bat,Right arm Fast
Shoaib Malik,64c34cd0,Shoaib Malik,Shoaib Malik,42657,,Right hand Bat,Right arm Offbreak
AK Mitra,4e11e004,AK Mitra,AK Mitra,31320,,Right hand Bat,Right arm Offbreak
FM Engineer,6529ee42,FM Engineer,FM Engineer,28624,,Right hand Bat,Legbreak
Mohammad Hafeez,9ab63e7b,Mohammad Hafeez,Mohammad Hafeez,41434,,Right hand Bat,Right arm Offbreak
U Kaul,622cc511,U Kaul,U Kaul,30235,,Left hand Bat,
VS Yeligati,38f2c66c,VS Yeligati,VS Yeligati,307448,,Right hand Bat,Right arm Offbreak
Gagandeep Singh,890de8cb,Gagandeep Singh,Gagandeep Singh,28758,,Right hand Bat,Right arm Medium fast
HS Sekhon,58b66172,HS Sekhon,HS Sekhon,33893,,Right hand Bat,Right arm Offbreak
LPC Silva,1be70c88,LPC Silva,LPC Silva,50431,,Right hand Bat,Legbreak
A Nel,2503e881,A Nel,A Nel,46569,,Right hand Bat,Right arm Fast medium
B Geeves,50758325,B Geeves,B Geeves,5472,,Right hand Bat,Right arm Fast medium
AV Jayaprakash,bde6e9ef,AV Jayaprakash,AV Jayaprakash,29691,,,
D Salunkhe,0264c10e,D Salunkhe,D Salunkhe,278482,,Right hand Bat,Legbreak
Misbah-ul-Haq,7eae4418,Misbah-ul-Haq,Misbah-ul-Haq,41378,,Right hand Bat,Legbreak
I Shivram,85143097,I Shivram,I Shivram,35290,,,
SJ Davis,bc71b0b2,SJ Davis,SJ Davis,4922,,,
Salman Butt,4d6d6280,Salman Butt,Salman Butt,42683,,Left hand Bat,Right arm Offbreak
Umar Gul,16dfcc19,Umar Gul,Umar Gul,43524,,Right hand Bat,Right arm Fast medium
CH Lloyd,5b445db0,CH Lloyd,CH Lloyd,52345,,Left hand Bat,Right arm Medium
MSS Ranawat,8048c698,MSS Ranawat,MSS Ranawat,33614,,,
SM Pollock,88fccd6c,SM Pollock,SM Pollock,46774,,Right hand Bat,Right arm Fast medium
AS Yadav,b9be6507,AS Yadav,AS Yadav,36110,,Right hand Bat,Right arm Offbreak
DP Vijaykumar,acd4f5dc,DP Vijaykumar,DP Vijaykumar,272949,,Right hand Bat,Right arm Medium
GA Pratapkumar,cf7c5778,GA Pratapkumar,GA Pratapkumar,32299,,Right hand Bat,Right arm Offbreak
PM Sarvesh Kumar,4b4d1957,PM Sarvesh Kumar,PM Sarvesh Kumar,327127,,Right hand Bat,Right arm Medium
SP Fleming,eea6b7f1,SP Fleming,SP Fleming,37000,,Left hand Bat,
Shahid Afridi,0dc00542,Shahid Afridi,Shahid Afridi,42639,,Right hand Bat,Legbreak Googly
Talat Ali,1df4131e,Talat Ali,Talat Ali,43273,,Right hand Bat,Right arm Medium
GD McGrath,ee7d0c82,GD McGrath,GD McGrath,6565,,Right hand Bat,Right arm Fast medium
Mohammad Asif,e03b66ec,Mohammad Asif,Mohammad Asif,41411,,Left hand Bat,Right arm Fast medium
CK Kapugedera,cfad138c,CK Kapugedera,CK Kapugedera,209457,,Right hand Bat,Right arm Medium
Kamran Akmal,ff077124,Kamran Akmal,Kamran Akmal,41028,,Right hand Bat,
M Ntini,20a941bb,M Ntini,M Ntini,46592,,Right hand Bat,Right arm Fast
MR Singh,5d58ac60,MR Singh,MR Singh,34051,,,
S Vidyut,756389bd,S Vidyut,S Vidyut,35619,,Left hand Bat,Slow Left arm Orthodox
Sohail Tanvir,64d43928,Sohail Tanvir,Sohail Tanvir,43265,,Left hand Bat,Left arm Medium fast
A Chopra,e249fdaa,A Chopra,A Chopra,27639,,Right hand Bat,"Right arm Medium, Right arm Offbreak"
A Flintoff,ddc0828d,A Flintoff,A Flintoff,12856,,Right hand Bat,Right arm Fast medium
SB Bangar,0604ef16,SB Bangar,SB Bangar,27225,,Right hand Bat,Right arm Medium fast
RR Bose,21ac077a,RR Bose,RR Bose,27572,,Right hand Bat,Right arm Fast medium
T Kohli,40caa465,T Kohli,T Kohli,331855,,Right hand Bat,Right arm Medium
GR Napier,611926bc,GR Napier,GR Napier,17991,,Right hand Bat,Right arm Medium
R Bishnoi,4d5a1617,R Bishnoi,R Bishnoi,236766,,Right hand Bat,Right arm Medium fast
FH Edwards,a7c226e1,FH Edwards,FH Edwards,51782,,Right hand Bat,Right arm Fast
TM Srivastava,a76d10ba,TM Srivastava,TM Srivastava,35401,,Left hand Bat,Right arm Medium
MR Benson,790e14d3,MR Benson,MR Benson,9074,,Left hand Bat,Right arm Offbreak
D du Preez,d7a57f75,D du Preez,D du Preez,44938,,Right hand Bat,Right arm Fast medium
W Jaffer,619aa81f,W Jaffer,W Jaffer,29646,,Right hand Bat,Right arm Offbreak
TH Wijewardene,6a6be119,TH Wijewardene,TH Wijewardene,50987,,Left hand Bat,Left arm Medium fast
